EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
020582239,SERENITY HOUSE OF CHARLOTTE INC,% ED CROWLEY,811 E 15TH ST,CHARLOTTE,NC,28205-2601,0000,03,3,1000,200211,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,F20,
020582456,LEATHERWOOD RE-ENACTMENT CORPORATION,% GARY BEGLEY,PO BOX 599,CORNETTSVILLE,KY,41731-0599,0000,03,3,1200,201109,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,A80,
020582515,JUDAH WORSHIP CENTER INC,,681 SUNDERLAND RD,CONCORD,NC,28027-6282,0000,03,3,7000,200408,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020583570,WILLIAMS TOWNSHIP ATHLETIC ASSOCIATION,% JUDY ABERT,1260 MORGAN HILL RD,EASTON,PA,18042-6943,0000,03,3,2000,200302,1,16,000000000,1,01,202512,3,3,01,0,12,34085,78332,-25555,N11,
020583840,QAJAQ USA INC,% BENJAMIN ROOPER,2903 S LAKE DR,DAVIDSONVILLE,MD,21035-1351,0000,03,3,1200,202501,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,A82,
020584052,FAITH CATHEDRAL CHURCH OF THE APOSTOLIC FAITH,% DERRICK DORICH,3100 ST CHARLES ROAD,BELLWOOD,IL,60104-1548,0000,03,3,7000,200209,1,10,000000000,1,01,,0,0,06,0,09,,,,,
020584389,EMANUEL MEMORIAL AME ZION CHURCH,% BELINDA SCHENCK,PO BOX 57,FALLSTON,NC,28042-0057,0000,03,3,7000,200205,1,10,000000000,5,01,,0,0,06,0,06,,,,X21,
020584878,MORTGAGE PROFESSIONALS OF IOWA,,1165 2ND AVE,DES MOINES,IA,50301-8501,0000,06,3,2000,200310,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,S41,
020585175,WASHTENAW HEALTH PLAN CORPORATION,% ELLEN RABINOWITZ MEMBER,555 TOWNER ST,YPSILANTI,MI,48198-5723,0000,03,3,1000,200210,1,16,000000000,1,01,202409,6,6,01,0,09,3919772,3623904,3623904,E31,
020585584,BRIDGE THE GAP MINISTRIES,% NORMAN ALLEN,51194 ROMEO PLANK RD 732,MACOMB,MI,48042-4111,0000,03,3,7000,201001,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020585594,CENTER FOR COMMUNITY RESOURCES INCORPORATED,% CARMINE SCOTECE,212-214 SOUTH MAIN STREET 625 STE 6,BUTLER,PA,16001-0000,0000,03,3,1000,200209,1,15,000000000,1,01,202506,7,8,01,0,06,9711737,29866264,29866264,E70,
020585645,CHRISTIAN LOVE CHURCH OF THE LIVING GOD INC,,PO BOX 6443,VIRGINIA BCH,VA,23456-0443,8565,03,9,7000,198807,0,10,000000000,5,01,,0,0,06,0,12,,,,,
020585728,NEW BETHANY REVIVAL MINISTRY,% PASTOR ROSLINE BARR,135 AMBER CT APT 202,CAROL STREAM,IL,60188-2567,0000,03,3,7000,200211,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020585946,INTERNATIONAL HARVEST CHURCH,,30 EGRET DR,BEAUFORT,SC,29907-1903,3612,03,9,7000,200006,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,ACTS NOW HOUSE CHURCH
020585977,VALLEY VIEW FOUNDATION,% DAVID LILES,790 GARFIELD AVE,MILFORD,OH,45150-1608,0000,03,3,1200,200206,1,15,000000000,1,01,202412,6,4,01,0,12,4864084,186411,171060,C27,
020586978,HULEBAK-RODRICKS FOUNDATION,% KAREN L HULEBAK,6822 POINDEXTER RD,LOUISA,VA,23093-4633,0000,03,3,1000,200209,1,04,000000000,1,01,202306,4,2,00,1,06,109224,15085,,T20,
020587094,COATS MUSEUM,% ROBIE S BUTLER,PO BOX 1294,COATS,NC,27521-1294,0000,03,3,1200,200406,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,A54,
020587310,NORTHWINDS CHURCH INC,% DALE POTTS TREASURER,42 KIMBER LN,EVANSVILLE,IN,47715-2822,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020588483,PENNSYLVANIA DEER FARMERS ASSOCIATION INC,% TODD GEHRINGER,PO BOX 66,MORGANTOWN,PA,19543-0066,0000,05,3,1000,200405,0,00,000000000,1,01,202403,4,4,01,0,03,125213,156859,44075,,
020588501,MADDEN FAMILY FOUNDATION INC,% PATRICIA FONG,111 E WISCONSIN AVE STE 1800,MILWAUKEE,WI,53202-4809,0000,03,3,1000,200206,1,04,000000000,1,01,202512,6,5,00,1,12,1436139,878926,,T22,
020589126,SNOW SHOE RAILS TO TRAILS ASSOCIATION,% PERRY MASON,PO BOX 314,CLARENCE,PA,16829-0314,0000,03,3,1200,200209,1,15,000000000,1,01,202412,4,4,01,0,12,226338,153037,134569,N30,
020589199,HOLLYS PLACE INC,% VICTORIA M KING,9848 N 1500TH AVE,OSCO,IL,61274-9583,0000,03,3,4000,200207,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,D20,
020589233,VETERANS OF FOREIGN WARS OF THE UNI TED STATES AUX DEPT OF PA,% KENNETH FRAZIER,3801 SAW MILL RUN BLVD,PITTSBURGH,PA,15227-2603,5748,19,9,1000,201007,2,00,000000000,5,01,202506,0,0,02,0,06,0,0,0,W30,VFW AUX TO BRENTWOOD POST NO 1810
020589288,SONS OF ITALY IN AMERICA,% ANN MARIE BETTINA,439 THE HIDEOUT,LAKE ARIEL,PA,18436-9782,3610,08,9,1000,194106,1,00,000000000,5,01,202409,0,0,02,0,09,0,0,0,Y40,2629 ST FRANCIS OF ASSISI
020589310,PEO SISTERHOOD INTERNATIONAL CHAPTER,% CHAPTER DH-AR,3700 GRAND AVE,DES MOINES,IA,50312-2806,1072,04,9,3000,197109,2,00,059921000,5,01,202602,0,0,02,0,02,0,0,0,,DH-AR CHAPTER
020589316,PEO SISTERHOOD INTERNATIONAL CHAPTER,% CHAPTER OX-IA,3700 GRAND AVE,DES MOINES,IA,50312-2806,1072,04,9,3000,197109,2,00,059921000,5,01,202602,0,0,02,0,02,0,0,0,,OX-IA CHAPTER
020589323,PEO SISTERHOOD INTERNATIONAL CHAPTER,% CHAPTER BY-MT,3700 GRAND AVE,DES MOINES,IA,50312-2806,1072,04,9,3000,197109,2,00,059921000,5,01,202602,0,0,02,0,02,0,0,0,,BY-MT CHAPTER
020589330,PEO SISTERHOOD INTERNATIONAL CHAPTER,% CHAPTER FD-OH,3700 GRAND AVE,DES MOINES,IA,50312-2806,1072,04,9,3000,197109,2,00,059921000,5,01,202602,0,0,02,0,02,0,0,0,,31 CHAPTER FD-OH
020589336,PEO SISTERHOOD INTERNATIONAL CHAPTER,% PEO TREASURER,3700 GRAND AVE,DES MOINES,IA,50312-2806,1072,04,9,3000,197109,2,00,059921000,5,01,202602,0,0,02,0,02,0,0,0,,36 CHAPTER NY-IL
020589424,UNIVERSITY OF MARYLAND ALUMNI ASSOCIATION INC,% JEREMY ARNOLD,7801 ALUMNI CENTER,COLLEGE PARK,MD,20742-0001,3490,03,9,1000,199906,0,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,,COLLEGE OF ARCHITECTURE ALUMNI CHAP
020589457,MAINE AVENUE INC,% MARY IVEY,429 N ST SW APT 707S,WASHINGTON,DC,20024-3719,0000,03,3,1700,200210,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,T30,MAINE AVENUE MINISTRIES
020590009,GENESIS CHRISTIAN FELLOWSHIP CHURCH,% JOE S EVANS,9914 WARWICK BLVD,NEWPORT NEWS,VA,23601-4250,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020590061,HAVENWOODS ECONOMIC DEVELOPEMENT CORP,% ALCAN PACKAGING,6671 W MILL RD,MILWAUKEE,WI,53218-1238,0000,03,3,1000,200210,1,15,000000000,1,01,202412,4,5,01,0,12,275846,641062,641062,S31,
020591170,COMMUNITY ACTION OF SOUTHERN INDIANA INC,% ADRIAN JAMIESON,201 E 15TH ST,JEFFERSONVLLE,IN,47130-2913,0000,03,3,1000,200603,1,15,000000000,1,01,202503,6,7,01,0,03,3329132,8762137,8751769,,
020591549,MICHIGAN CHAPTER OF THE AMERICAN ASSOCIATION OF CLINICAL,,30800 TELEGRAPH RD STE 2800,BINGHAM FARMS,MI,48025-5704,0000,06,3,2000,200309,2,00,000000000,1,01,202512,4,4,01,0,12,311363,126744,126744,S41,
020591780,HOUSE OF FRIENDS,% SANDRA DEACON,W5595 WILLOW RD,WITHEE,WI,54498-8615,0000,03,3,2000,201601,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,B90,
020591966,THE GOOD DEATH INSTITUTE INC,,802 E STATE STREET,MILWAUKEE,WI,53202-3447,0000,03,3,1200,201804,1,15,000000000,1,01,202406,0,0,02,0,06,0,0,0,B99,
020592548,MINNEAPOLIS UPTOWN ROTARY COMMUNITY SERVICE FOUNDATION,% C/O CALHOUN VISION CENTER,4741 2ND AVE S,MINNEAPOLIS,MN,55419-5608,0000,03,3,1000,200206,1,16,000000000,1,01,202506,0,0,02,0,06,0,0,0,T30,
020592647,SUMMIT SPRINGS INC,% NANCY VANDELL,2319 KERRIGANS WAY,FORT WAYNE,IN,46815-8737,0000,03,3,1000,200301,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,B21,
020592766,ADVENTIST COMMUNITY SERVICES OF GREATER WASHINGTON,% JOHN GAVIN,501 SLIGO AVE,SILVER SPRING,MD,20910-4707,0000,03,3,1000,200312,1,16,000000000,1,01,202412,4,6,01,0,12,401913,1375358,1375358,P99,
020592926,FRIENDS OF THE KINDRED PUBLIC LIBRARY,% LISA ANDERSON,PO BOX 63,KINDRED,ND,58051-0063,0000,03,3,1200,200207,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,B11,
020593286,DOWN SYNDROME ALLIANCE OF THE MIDLANDS,% LEAH JANKE,10824 OLD MILL RD STE 8,OMAHA,NE,68154-2642,0000,03,3,1000,200208,1,15,000000000,5,01,202412,5,5,01,0,12,679482,651151,503879,T12,
020594216,PEOPLES FOUNDATION INC,% THE PEOPLES COMMUNITY BAPTIST CHU,31 NORWOOD RD,SILVER SPRING,MD,20905-3875,0000,03,3,7000,200412,1,17,000000000,1,01,202312,4,0,02,0,12,177948,0,0,X112,
020594872,POCONO MOUNTAIN REGIONAL EMERGENCY MEDICAL SERVICES INC,,135 TEGAWITHA RD,TOBYHANNA,PA,18466-7796,0000,03,3,1000,200306,1,15,000000000,1,01,202512,6,7,01,0,12,4440844,5555186,5499387,E61,
020595113,VIRGINIA CONGRESS OF PARENTS AND TEACHERS,% LIBERTY MIDDLE SCHOOL PTA,6801 UNION MILL RD,CLIFTON,VA,20124-1118,3229,03,9,1000,198508,1,16,035000000,1,01,202606,0,0,02,0,06,0,0,0,,LIBERTY MIDDLE SCHOOL PTA-CLIFTON
020595161,GOODWIN HOUSE DEVELOPMENT CORPORATION,% KATHLEEN S ANDERSON,4800 FILLMORE AVENUE,ALEXANDRIA,VA,22311-5070,0000,03,3,1000,201403,1,21,000000000,1,01,202409,8,4,01,0,09,38064887,281851,281848,L22,
020595200,AGING SOLUTIONS FOR CENTRAL OHIO INC,% DAVID ANDERSON,3776 S HIGH ST,COLUMBUS,OH,43207-4012,0000,03,3,1000,200207,1,04,000000000,1,01,202512,4,3,00,3,12,155604,84930,,P81,
020595575,BUILDABLE HOURS,% SCOTT MICHEL,1200 NEW HAMPSHIRE AVENUE NW 8TH FL,WASHINGTON,DC,20036-6802,0000,03,3,1000,200206,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,L12,
020596144,FOX LAKE AREA SPORTS COMMISSION,% MARK STOFFEL,1888 90TH AVE,TRIMONT,MN,56176-1220,0000,03,3,1000,200211,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,N99,
020596263,FREDERICKTOWN FREE WILL BAPTIST CHURCH,% DONNA BOGGS,102 COLUMBUS RD,FREDERICKTOWN,OH,43019-1217,0000,03,3,7000,200712,1,10,000000000,1,01,201212,0,0,06,0,12,,,,X20,
020596848,NEW BEGINNING MISSIONARY BAPTIST CHURCH OF THE WEST SIDE,% REV XAVIER M WILLIAMS,221 30TH AVE,BELLWOOD,IL,60104-1224,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020597036,CHERICOKE FOUNDATION,% HORSLEY & HORSLEY,4910 LOCKGREEN CIR,RICHMOND,VA,23226-1755,0000,03,3,1000,200206,1,04,000000000,2,01,202512,5,4,00,1,12,996169,338453,,T22,
020597461,WEST VIRGINIA STATE CCC MUSEUM ASSOCIATION INC,% JOY WINET,43 QUIET DELL SCHOOL RD,MOUNT CLARE,WV,26408-7183,0000,03,3,1000,200305,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A50,
020597467,NEW COVENANT COMMUNITY FELLOWSHIP,% MARLENE FIELDS,1431 SOWEGO RD,CATLETT,VA,20119-2455,0000,03,3,7000,200902,1,10,000000000,5,01,,0,0,06,0,12,,,,X21,
020597535,SAFETY COMPONENTS FIRST RESPONDER 911 FOUNDATION,% JOEY UNDERWOOD,40 EMERY ST,GREENVILLE,SC,29605-4572,0000,03,3,1000,200301,1,15,000000000,1,01,202412,3,4,01,0,12,29057,181052,181052,T20,
020597616,HARMONY FIRE DISTRICT,% RODNEY J KNIESS,424 S MAIN ST,ZELIENOPLE,PA,16063-1529,0000,03,3,1000,200905,1,15,000000000,1,01,202412,8,6,01,0,12,11858183,1486652,1388031,N11,
020597648,PTA NORTH CAROLINA CONGRESS,% HENRI BICKETT,5925 BALLANTYNE COMMONS PKWY,CHARLOTTE,NC,28277-0575,8535,03,9,2000,198505,1,16,035000000,1,01,202506,0,0,02,0,06,0,0,0,,ROBINSON MIDDLE SCHOOL JAY M
020598272,CRAIG COUNTY PUBLIC LIBRARY INC,,303 MAIN ST,NEW CASTLE,VA,24127-6409,0000,03,3,1000,201803,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,B70,
020598440,GEORGETOWN HOSPITAL SYSTEM,% ERIN MARIE SHAFFER BEADLE,606 BLACK RIVER RD,GEORGETOWN,SC,29440-3304,0000,03,3,1000,200310,1,17,000000000,1,01,202409,9,9,01,0,09,614365253,209579105,209535740,E210,
020598717,TRENTON TABERNACLE ASSEMBLY OF GOD TRENTON NJ,,245 ALTHEA AVE,MORRISVILLE,PA,19067-2261,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,03,,,,,HAMILTON
020599042,MIDTOWN PHILLIPS NEIGHBORHOOD ASSOCIATION INC,% SHIRLEY HEYER,2433 BLOOMINGTON AVE,MINNEAPOLIS,MN,55404-3918,0000,03,3,2000,200408,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,S20,
020599057,BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM,,220 E STATE ST RM 104,MAUSTON,WI,53948-1348,5968,03,9,2000,201403,1,15,000000000,5,01,202506,0,0,02,0,06,0,0,0,,LYNDON PIONEERS 4-H CLUB
020599511,GAINSBOROUGH SOUTHWEST COMMUNITY ORGANIZATION,% CONSTANCE CRUTCHFIELD,401 GAINSBORO RD NW,ROANOKE,VA,24016-1937,0000,03,3,1000,201706,1,16,000000000,1,01,202508,0,0,02,0,08,0,0,0,S30,
020599877,ALLIANCE BELIEVERS CENTER INCORPORATED,% HARVEY MEHAFFIE,735 MILNER ST,ALLIANCE,OH,44601-4105,0000,03,3,7000,200305,1,10,000000000,1,01,202512,0,0,06,0,12,0,0,0,X20,
020599980,JEFF ANDLER MINISTRIES,% JEFF ANDLER,7410 APPLE CREEK DR,MINT HILL,NC,28227-5239,0000,03,3,1000,200306,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,X200,
020600341,NORTH CAROLINA PROPERTY MAPPERS ASSOCIATION,% TOYIA KING,845 CHURCH ST N STE 308-A,CONCORD,NC,28025-4375,0000,03,3,1000,200308,1,15,000000000,1,01,202512,3,3,01,0,12,76940,78252,78252,S40,
020600546,IMAGO DEI MINISTRIES,% VICTOR JUNIOUS,PO BOX 439328,CHICAGO,IL,60643-9328,0000,03,3,7100,200902,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,
020600549,GLACIAL LAKES MOTORCYCLE CLUB,% TOM PRAMANN - TREASURER,46177 181ST ST,CASTLEWOOD,SD,57223-5322,0000,04,3,3000,200609,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,N99,
020600697,ANGIOMA ALLIANCE,% CORNELIA LEE & KAREN BUCK,977 SEMINOLE TRAIL BOX 367,CHARLOTTESVILLE,VA,22901-2824,0000,03,3,1000,200207,1,15,000000000,1,01,202409,6,6,01,0,09,1122004,1350502,1310338,G80,
020600880,AMVETS,% MONTE L RENTZ,2250 PATTERSON RD,DAYTON,OH,45420-3061,0838,19,9,1000,194505,1,00,000000000,5,01,202512,5,5,01,0,12,717831,876504,876504,,2003 OH POST
020601375,FORT NORFOLK RETIREMENT COMMUNITY INC,% FORT,1 COLLEY AVE,NORFOLK,VA,23510-1038,0000,03,3,1000,200310,1,16,000000000,1,01,202509,9,8,01,0,09,263454234,49176378,44317574,P75,
020601489,SOUTH ELGIN YOUTH FOOTBALL INC,,PO BOX 599,SOUTH ELGIN,IL,60177-0599,0000,03,3,1000,200412,1,15,000000000,1,01,202312,3,3,01,0,12,53030,61110,55177,N65,
020601495,KIWANIS CLUB OF MOUNTAINTOP CHARITABLE FOUNDATION,% DAVID BARRY,105 CLIFF ST APT 2,PITTSTON,PA,18640-2240,0000,03,3,1000,200206,1,15,000000000,1,01,202509,0,0,02,0,09,0,0,0,T31,
020601504,INDIANA CONGRESS OF PARENTS AND TEACHERS INC,% SHELLEY A STARKS,610 MAIN ST,EVANSVILLE,IN,47708-1618,5111,03,9,1000,198812,0,16,000000000,1,01,202506,0,0,02,0,06,0,0,0,,SIGNATURE HIGH SCHOOL PTSA
020602143,SASSE ALUMNI ASSOCIATION INC,% MBEI ENOH,7607 GREENSTABLE GATE LN,LAUREL,MD,20707-9413,0000,03,3,1000,200307,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,B82,SOBA-USA
020602229,MICHIGAN STATE UNIVERSITY,% PAUL MILLER,205 S EIGHTH ST,WEST BRANCH,MI,48661-1242,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,OGEMAW HILLS 4-H SHOOTING SPORTS
020602788,VARTKESS AND RITA BALIAN FAMILY FOUNDATION INC,% RITA S BALIAN,1300 CRYSTAL DR APT 1505,ARLINGTON,VA,22202-3273,0000,03,3,1000,200211,1,04,000000000,1,01,202512,4,4,00,1,12,491590,336677,,T22,
020603042,TREE OF LIFE CHURCH,% PRISCILLA WHAIRE HSIA,8313 TUCKERMAN LN,POTOMAC,MD,20854-3747,3769,03,9,7000,200109,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020603298,PTA DELAWARE CONGRESS,% JEAN GAVERTH PTSA PRESIDENT,11550 SCAGGSVILLE RD,FULTON,MD,20759-2206,2155,03,9,2000,197103,1,16,059035119,5,01,202506,0,0,02,0,06,0,0,0,,RESERVOIR HIGH SCHOOL PTA
020603914,AUDI CAR CLUB OF NORTH AMERICA,% JOANNE ANGELI,PO BOX 638,OCONOMOWOC,WI,53066-0638,3863,03,9,1000,200206,1,16,000000000,1,01,,0,0,02,0,12,,,,,FLORIDA CHAPTER
020603935,FIRST UNITED METHODIST CHURCH OF CORRY PA,% LINDA HAJEC,650 WORTH ST,CORRY,PA,16407-8515,2573,03,9,7000,197410,1,10,000000000,5,01,201312,0,0,06,0,12,,,,,
020604069,TRUE HOLINESS ENDTIME MINISTRIES,% JOANN HALL,1421 S WILMINGTON ST,RALEIGH,NC,27603-2525,0000,03,3,7000,200302,1,10,000000000,5,01,,0,0,06,0,12,,,,X21,
020604875,CASWELL 21ST CENTURY DEVELOPMENT INC,% GEORGE DANIEL,PO BOX 727,YANCEYVILLE,NC,27379-0727,0000,03,3,1000,200302,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,S20,
020604966,AMVETS,% EDWARD BEARDSLEY,PO BOX 502,SUGAR GROVE,PA,16350-0502,0838,19,9,1000,194505,1,00,000000000,5,01,202512,5,5,01,0,12,525339,729311,396184,,0050 PA
020605371,OCRA CATS INC,% RUTH FORDON,338 BRITISH CEMETERY RD,OCRACOKE,NC,27960-1037,0000,03,3,4000,202401,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,D20,
020605397,GREATER WILKES-BARRE CHAMBER OF BUSINESS & INDUSTRY,% MURRAY UFBERG,PO BOX 759,WILKES BARRE,PA,18703-0759,0000,03,3,1000,200211,1,15,000000000,1,01,202412,6,5,01,0,12,1739130,956734,956734,J200,
020605448,THE OHIO STATE UNIVERSITY,% BRENDA DOSTER,7412 ROAD 131,PAULDING,OH,45879-9605,5925,03,9,2000,201305,1,15,149349000,5,01,202512,0,0,02,0,12,0,0,0,O52,BLUE RIBBON WORKERS 4-H CLUB OF PAU
020605533,GARDEN CLUB OF ALEXANDRIA,% TREASURER,6410 BOULEVARD VW,ALEXANDRIA,VA,22307-1413,0000,03,3,2000,200310,1,15,000000000,1,01,202505,0,0,02,0,05,0,0,0,C42,
020605984,UNDERDOG RANCH PET ADOPTIONS INC,% SHELLY BRYANT,PO BOX 509,SILER CITY,NC,27344-0509,0000,03,3,1400,200209,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,D20,
020606024,SURRY HOMELESS AND AFFORDABLE HOUSING COALITION,% CHRISTY PARKER,PO BOX 7202,MOUNT AIRY,NC,27030-5057,0000,03,3,1000,200207,1,15,000000000,1,01,202412,4,3,02,0,12,192632,34112,34112,L41,
020606130,LIGHTHOUSE WARSHIP CENTER OF NEW BERLIN INC,% HARLEY YODER,6151 NEW BERLIN HWY,WINFIELD,PA,17889-8811,0000,03,3,1700,200305,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020606647,FRIENDS OF THE WASHINGTON CANOE CLUB,% BLAISE RHODES,PO BOX 25449,WASHINGTON,DC,20027-8449,0000,03,3,1000,200305,1,16,000000000,1,01,202412,6,5,01,0,12,2907317,722804,722004,N60,
020606825,A COMMUNITY OF TRANSFORMATION INC,% LINDA T ROEBUCK,PO BOX 541,ARNOLD,MD,21012-0541,0000,03,3,1000,200209,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,E80,
020606865,CAREFIRST COMMUNITY HEALTH SERVICES,% BUNMI OLALEYE,8097 DECATUR ST,DETROIT,MI,48228-2721,0000,03,3,2000,200302,1,15,000000000,1,01,202209,4,4,01,0,09,220251,211704,211704,B99,
020607437,IGLESIA CRISTIANA MAHANAIM,% JOSE MIGUEL A ROBLES,1210 RIVER ROCK DR,DURHAM,NC,27704-1689,0000,03,3,7000,202510,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020607752,THE OHIO STATE UNIVERSITY,% JEFF AUSTIN,3165 S PHILLIPS RD,HARROD,OH,45850-9704,5925,03,9,2000,201305,0,15,000000000,5,01,202512,0,0,02,0,12,0,0,0,,HARROD LIVELY 4-H CLUB
020607863,SECOND CHANCE FOR HUMANITY OUTREACH,% SHERRIE MCQUILLER,184 CYPRESS FOREST DR,MONCKS CORNER,SC,29461-8441,0000,03,3,1000,202101,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P85,
020608237,MUSICAL ARTS ASSOCIATION OF KENSTON,% KENSTON HIGH SCHOOL,9500 BAINBRIDGE RD,CHAGRIN FALLS,OH,44023-2727,0000,03,3,1200,200303,1,15,000000000,1,01,202506,4,3,01,0,06,138112,81450,51343,B112,
020608285,CHRIST EMBASSY,% ALOYSIUS OKEI,1221 CARAWAY CT STE 1010,UPPR MARLBORO,MD,20774-5381,0000,03,3,1000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020608357,CHARLOTTE AREA HOTEL ASSOCIATION INC,% R SID SMITH,1307 W MOREHEAD ST STE 207,CHARLOTTE,NC,28208-5276,0000,06,3,2000,200309,2,00,000000000,5,01,202505,0,0,02,0,05,0,0,0,S412,
020609108,NATIONAL MEDPEDS RESIDENTS ASSOCIATION,% SARAH SCOTT,3837 HIGHWAY 58,BUFFALO JCT,VA,24529-3347,0000,06,3,2000,201701,2,00,000000000,1,01,202506,3,3,02,0,06,31818,29238,29238,S41,
020609581,CAROLINA HISTORICAL SITE PERSERVATION FOUNDATION,% MERRILL HANNA,4962 STEEPLECHASE LN,HOLLYWOOD,SC,29449-5857,0000,03,3,2000,200210,1,15,000000000,1,01,202601,0,0,02,0,01,0,0,0,A80,
020609594,REED SQUARE FOUNDATION,% THOMAS H SANDERS II,PO BOX 8012,RICHMOND,VA,23223-0012,0000,03,3,1000,200208,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,C34,
020609828,HOLY TRINITY CHURCH OF GOD IN CHRIST INC,% REV ARTHUR SHIELDS,4 CARTHAGE CT,RANDALLSTOWN,MD,21133-4534,1969,03,9,7000,196901,1,10,001000000,5,01,,0,0,02,0,12,,,,,
020610614,LATROBE ART CENTER,% JACQUELINE E DIXON,819 LIGONIER ST,LATROBE,PA,15650-1827,0000,03,3,1000,200406,1,16,000000000,1,01,202412,5,5,01,0,12,659169,656197,643552,A20,
020610992,FIRST CHURCH WORSHIP CENTER,% FIRST CHURCH WORSHIP CENTER,FIRST CHURCH WORSHIP CENTER,PHILADELPHIA,PA,19132-0000,0000,03,3,7000,200604,1,10,000000000,1,01,202212,0,0,06,0,12,0,0,0,X21,
020611111,PENNENVIRONMENT INC,% DAVID MASUR,1429 WALNUT ST STE 1100,PHILADELPHIA,PA,19102-3205,0000,04,3,3000,200208,2,00,000000000,1,01,202506,7,6,01,0,06,8825644,1514215,1514215,,
020611137,TRINITY AME ZION CHURCH INC,% RONALD J BROWNING,PO BOX 412,WOODRUFF,SC,29388-0412,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020611246,OHIO SHAKESPEARE FESTIVAL,% TERRY T BURGLER,507 E CRAIN AVE,KENT,OH,44240-2607,0000,03,3,2000,200408,1,15,000000000,1,01,202412,4,4,01,0,12,141728,411887,378320,A65,
020612009,SHALER AREA SOCCER BOOSTERS,% JULIE KEENAN,815 SPENCER GROVE LN,GLENSHAW,PA,15116-2377,0000,03,3,1000,202109,1,16,000000000,5,01,202606,0,0,02,0,06,0,0,0,N12,
020612289,LIGHTHOUSE MINISTRIES INC,% DAVID D HORTON,678 COUNTY LINE RD,ACME,PA,15610-1020,0000,03,3,1000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020612599,EWG ACTION FUND,% SCOTT MALLAN,1250 I ST NW STE 1000,WASHINGTON,DC,20005-5963,0000,04,3,1000,200311,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,S20,
020612612,AMVET,% PAMELA RENTZ,2250 PATTERSON RD,KETTERING,OH,45420-3061,0838,19,9,1000,195402,1,00,907000000,5,01,202512,0,0,02,0,12,0,0,0,,2003
020613190,POWER HOUSE WORSHIP CENTER,% DARIN WAYNE EZZELL,639 BURNCOAT RD,KINSTON,NC,28504-9449,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
